,name,start
1999,Тульский фестиваль,1992-09-08 00:00:00
1671,Турнир в Муроме,1993-05-01 00:00:00
1672,Великолукская осень,1993-10-10 00:00:00
5463,Маги на Воробьёвых горах,1994-04-25 00:00:00
1673,Великолукская осень,1994-10-10 00:00:00
1674,Великолукская осень,1995-10-10 00:00:00
1552,Чемпионат Украины,1996-09-13 00:00:00
1675,Великолукская осень,1996-10-10 00:00:00
1914,Чемпионат США,1997-02-23 00:00:00
1824,Кубок губернатора СПб. Финал,1997-03-01 00:00:00
1728,Чемпионат Мордовии,1996-10-01 00:00:00
1576,Чемпионат Украины,1997-09-21 00:00:00
1582,Великолукская осень,1997-11-15 00:00:00
1913,Чемпионат США,1998-02-01 00:00:00
716,Чемпионат Израиля,1998-04-18 00:00:00
1588,Поволжская лига,1998-02-01 00:00:00
1729,Чемпионат Мордовии,1997-10-01 00:00:00
1500,Моментом в море,1998-05-01 00:00:00
1589,Кубок МГТУ,1998-05-23 00:00:00
3000,Прототурнир,1998-01-01 00:00:00
1590,Белые ночи,1998-07-04 00:00:00
1592,Турнир в Баку,1998-07-10 00:00:00
1912,Открытый кубок Череповца,1998-07-18 00:00:00
1597,Открытый чемпионат Германии,1998-07-25 00:00:00
1510,Летние зори,1998-08-04 00:00:00
1917,На муромской дорожке,1998-08-18 00:00:00
1501,Чемпионат Южного Кавказа,1998-08-20 00:00:00
1740,Чемпионат Армении,1998-10-24 00:00:00
1506,Открытый кубок Мордовии,1998-10-31 00:00:00
1505,Перекрёсток,1998-11-14 00:00:00
1502,Открытый чемпионат Москвы,1998-12-13 00:00:00
1153,Кубок Хайфы,1999-01-02 00:00:00
1601,Турнир в Ялте,1999-01-15 00:00:00
1161,Бостонское чаепитие,1999-02-14 00:00:00
1306,Симбирск Опен,1999-02-14 00:00:00
1103,Чемпионат Туркменистана,1999-02-20 00:00:00
1059,Чемпионат Одессы. Высшая лига,1999-02-28 00:00:00
1286,Чемпионат Саратова,1999-03-01 00:00:00
1081,Турнир в Днепропетровске,1999-03-12 00:00:00
1440,Кубок губернатора СПб. Финал,1999-03-27 00:00:00
1370,Каменный цветок,1999-03-27 00:00:00
1400,Первоапрельские тезисы,1999-04-04 00:00:00
1171,Турнир в Ашаффенбурге,1999-04-04 00:00:00
1141,Чемпионат Харькова. Первая лига,1999-03-01 00:00:00
1389,Лига Физтеха,1999-04-08 00:00:00
1503,Чемпионат Москвы. Высшая лига,1998-09-01 00:00:00
1343,Синхронный турнир ЛУК,1999-04-17 00:00:00
1142,Чемпионат Харькова. Вторая лига,1999-03-15 00:00:00
1140,Чемпионат Харькова. Высшая лига,1999-03-21 00:00:00
1730,Чемпионат Мордовии,1998-10-01 00:00:00
1002,На муромской дорожке,1999-05-02 00:00:00
1442,Гран-при МГУ,1999-05-03 00:00:00
1064,МИКС,1999-05-03 00:00:00
1166,Чемпионат Израиля,1999-05-08 00:00:00
1443,Кубок Полесья,1999-05-08 00:00:00
1136,Чемпионат Москвы. Первая лига,1998-10-01 00:00:00
1028,Кубок городов,1999-05-23 00:00:00
1050,Открытый чемпионат Татарстана,1999-05-22 00:00:00
1170,Чемпионат Киева,1998-10-25 00:00:00
1197,Чемпионат Грузии,1999-05-22 00:00:00
1133,"Чемпионат клуба ""От Винта!""",1999-03-07 00:00:00
1210,Поволжская лига,1999-05-31 00:00:00
1508,Чемпионат Санкт-Петербурга. Первая лига,1999-01-01 00:00:00
1007,Чемпионат Санкт-Петербурга. Высшая лига,1999-06-01 00:00:00
1022,Чемпионат Витебска,1999-06-01 00:00:00
1092,Чемпионат Гомеля,1998-09-01 00:00:00
1099,Чемпионат Архангельска. Высшая лига,1999-06-01 00:00:00
1051,Чемпионат Кишинёва,1998-09-01 00:00:00
1042,Турнир в Реклинсгаузене,1999-07-04 00:00:00
1074,Остров сокровищ,1999-07-04 00:00:00
1091,Белые ночи,1999-07-04 00:00:00
1107,Чемпионат Туркменистана,1999-07-10 00:00:00
1338,Чемпионат Южного Кавказа,1999-07-23 00:00:00
1313,Кубок Мещёры,1999-08-01 00:00:00
1084,Летние зори. Гала-турнир,1999-08-09 00:00:00
1175,Летний лагерь знатоков в Баварии (Фюссен),1999-08-16 00:00:00
1119,Открытый чемпионат Баку,1999-08-19 00:00:00
1054,На муромской дорожке,1999-08-22 00:00:00
1139,Братская могила,1999-09-05 00:00:00
1062,Чемпионат Украины,1999-09-10 00:00:00
1077,Открытый чемпионат Татарстана,1999-09-18 00:00:00
1350,Турнир в честь 40-летия НГУ,1999-09-24 00:00:00
1115,Великолукская осень,1999-09-26 00:00:00
1146,Кубок Губернатора,1999-10-22 00:00:00
1202,Открытый кубок Мордовии,1999-10-30 00:00:00
1125,Турнир в Николаеве,1999-11-07 00:00:00
1137,Гостиный двор,1999-11-07 00:00:00
1327,Открытый чемпионат Самары,1999-11-14 00:00:00
1186,Краматорск - Донецк - транзит,1999-11-20 00:00:00
1052,Кубок Киборга,1999-11-21 00:00:00
1204,Кубок Физтеха. Финал,1999-11-21 00:00:00
1036,Чемпионат США,1999-11-28 00:00:00
1079,Чемпионат Республики Татарстан,1999-12-02 00:00:00
1441,Открытый кубок России,1999-12-05 00:00:00
1366,Молодёжный чемпионат Южного Кавказа,1999-12-04 00:00:00
1180,Турнир в Карлсхайме,1999-12-17 00:00:00
1047,Синхронный турнир ЛУК. I этап,1999-12-18 00:00:00
1385,Чемпионат Тель-Авива,1999-06-16 00:00:00
1390,Чемпионат Хайфы,1999-01-23 00:00:00
1278,Чемпионат Саратова,1999-10-10 00:00:00
1444,Кубок Хайфы,2000-01-08 00:00:00
1445,Открытый чемпионат Курска,2000-01-08 00:00:00
1446,Январская Ялта,2000-01-21 00:00:00
1067,Турнир в Германии,2000-01-30 00:00:00
1112,Зимний кубок Ступино,2000-01-30 00:00:00
1447,Кубок Чемпионов Украины Microsoft-2000,2000-02-06 00:00:00
1053,Чемпионат Кишинёва,1999-09-27 00:00:00
1046,Синхронный турнир ЛУК. II этап,2000-02-26 00:00:00
1448,Жаркая зима,2000-02-25 00:00:00
1068,Турнир в Германии,2000-03-05 00:00:00
1268,Чемпионат Москвы. Вторая лига. Дивизион Open,2000-03-10 00:00:00
1094,Чемпионат Туркменистана,2000-01-01 00:00:00
1449,Чемпионат Ивантеевки,2000-03-17 00:00:00
1065,Полтавская баталия,2000-03-19 00:00:00
1145,Чемпионат Харькова. Вторая лига,1999-10-25 00:00:00
1450,Кубок городов,2000-04-02 00:00:00
1257,Чемпионат Москвы. Вторая лига. Дивизион Физтех,1999-10-19 00:00:00
1003,Симбирск Опен,2000-04-08 00:00:00
1238,Чемпионат США,2000-04-09 00:00:00
1144,Чемпионат Харькова. Первая лига,1999-10-11 00:00:00
1680,Кубок губернатора СПб. Отбор иногородних команд,2000-04-15 00:00:00
1004,Кубок губернатора СПб. Отбор команд СПб,2000-04-15 00:00:00
1005,Кубок губернатора СПб. Финал,2000-04-16 00:00:00
1104,Каменный цветок,2000-04-15 00:00:00
1006,Неспростой кубок МГТУ,2000-04-22 00:00:00
1013,Оселедец,2000-04-21 00:00:00
1035,Поволжская лига,2000-02-13 00:00:00
1143,Чемпионат Харькова. Высшая лига,1999-10-10 00:00:00
1727,Чемпионат Мордовии,1999-10-01 00:00:00
1008,МИКС,2000-04-29 00:00:00
1055,Одесса - Саратов,2000-05-01 00:00:00
1009,Открытый чемпионат Одессы,2000-04-30 00:00:00
1010,На муромской дорожке,2000-04-30 00:00:00
1011,Кубок Полесья,2000-05-08 00:00:00
1090,Чемпионат Беларуси,2000-05-08 00:00:00
1056,Чемпионат Израиля,2000-05-13 00:00:00
1249,Чемпионат Москвы. Первая лига,1999-10-02 00:00:00
1069,Турнир в Мёнхенгладбахе,2000-05-14 00:00:00
1246,Открытый чемпионат КГУ,2000-05-17 00:00:00
1222,Чемпионат Минска,1999-10-07 00:00:00
1245,Турнир Влада Усанова,2000-05-20 00:00:00
1014,Открытый чемпионат Прибалтики,2000-05-19 00:00:00
1060,Чемпионат Одессы. Высшая лига,2000-05-21 00:00:00
1061,Чемпионат Одессы. Первая лига,2000-05-21 00:00:00
1066,Синхронный турнир ЛУК. III этап,2000-05-21 00:00:00
1134,"Чемпионат клуба ""От Винта!""",1999-09-19 00:00:00
1169,Чемпионат Киева,1999-10-24 00:00:00
1198,Чемпионат Грузии,2000-05-19 00:00:00
1254,Чемпионат Витебска,1999-10-01 00:00:00
1243,Чемпионат Москвы. Высшая лига,1999-10-03 00:00:00
1247,Вечерняя Казань,2000-05-28 00:00:00
1034,Чемпионат Самары,1999-09-01 00:00:00
1093,Чемпионат Гомеля,1999-09-01 00:00:00
1015,Чемпионат Санкт-Петербурга. Высшая лига,2000-02-20 00:00:00
1016,Чемпионат Санкт-Петербурга. Первая лига,2000-02-20 00:00:00
1021,Кубок Киборга,2000-06-04 00:00:00
1063,Золотой скиф,2000-06-04 00:00:00
1083,Турнир в Набережных Челнах,2000-06-07 00:00:00
1020,Гран-при МГУ,1999-10-04 00:00:00
1070,Дортмундское лето,2000-06-11 00:00:00
1263,Чемпионат Москвы. Вторая лига. Дивизион МГУ,1999-10-04 00:00:00
1019,Белые ночи,2000-07-01 00:00:00
1018,Остров сокровищ,2000-07-01 00:00:00
1095,Чемпионат Туркменистана,2000-05-28 00:00:00
1017,Открытый чемпионат Татарстана,2000-07-15 00:00:00
1023,Кубок Мещёры,2000-07-29 00:00:00
1026,Чемпионат Южного Кавказа,2000-07-28 00:00:00
1024,Летние зори. Гала-турнир,2000-08-02 14:00:00
1025,Турнир Неспроста,2000-08-05 00:00:00
1176,Чемпионат Полтавской области,2000-08-20 00:00:00
1113,Открытый кубок Ступино,2000-08-26 00:00:00
1030,Братская могила,2000-09-02 00:00:00
1404,Чемпионат Херсона,2000-09-16 00:00:00
1029,Открытый чемпионат Климовска,2000-09-17 00:00:00
1071,Турнир в Мёнхельгладбахе,2000-09-24 00:00:00
1244,Турнир команды Динамит,2000-10-01 00:00:00
1044,Открытый чемпионат Украины,2000-10-06 00:00:00
1085,Интеллектуальный прорыв в XXI век,2000-10-14 00:00:00
1106,Кубок Губернатора,2000-10-16 00:00:00
1080,Чемпионат Республики Татарстан,2000-10-21 00:00:00
1031,Нестерка,2000-10-27 00:00:00
1045,Открытый кубок Мордовии,2000-10-28 00:00:00
1032,Буковинская осень,2000-11-03 00:00:00
1132,Гостиный двор,2000-11-06 00:00:00
1033,Открытый чемпионат Самары,2000-11-11 00:00:00
1037,Кубок Тель-Авива,2000-11-18 00:00:00
1039,Кубок Физтеха. Взрослый отбор,2000-11-18 00:00:00
2080,Кубок Физтеха. Финал,2000-11-19 00:00:00
